Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,1,601,1154,2401,913,426.57
3,381,981,1417,2781,981,562.44
2,358,958,1073,2758,1049,28.08
4,499,1099,1261,2899,1139,175.68
1,207,807,1359,2607,1229,224.9
7,589,1189,1323,2989,1342,37.62
5,574,1174,1442,2974,1410,47.04
10,643,1243,1471,3043,1478,13.86
9,611,1211,1456,3011,1546,112.5
8,594,1194,1605,2994,1614,16.11
6,586,1186,1523,2986,1704,273.31
11,890,1490,1762,3290,1817,98.45
12,1185,1785,1907,3585,1907,0.0
13,1267,1867,2139,3667,2139,0.0
15,1635,2235,2779,4035,2504,280.5
14,1632,2232,2582,4032,2572,14.6
18,1981,2581,2730,4381,2640,90.9
16,1686,2286,2768,4086,2708,62.4
17,1791,2391,2776,4191,2776,0.0
20,2066,2666,2879,4466,2866,21.58
22,2229,2829,2940,4629,2979,68.64
19,2034,2634,3092,4434,3047,56.7
21,2119,2719,3154,4519,3160,11.7
23,2268,2868,3246,4668,3246,0.0
24,2277,2877,3424,4677,3424,0.0
28,2957,3557,3635,5357,3577,106.72
26,2827,3427,3858,5227,3667,286.5
27,2911,3511,3779,5311,3780,1.37
30,3089,3689,3848,5489,3848,0.0
25,2773,3373,3938,5173,3938,0.0
29,2968,3568,4046,5368,4028,30.24
32,3157,3757,4068,5557,4096,42.84
31,3138,3738,4041,5538,4164,218.94
33,3209,3809,4400,5609,4400,0.0
37,3759,4359,4509,6159,4509,0.0
35,3697,4297,4666,6097,4581,107.1
36,3716,4316,4651,6116,4649,2.56
38,4013,4613,4739,6413,4739,0.0
34,3658,4258,4794,6058,4829,64.75
42,4621,5221,5545,7021,5346,214.92
43,4721,5321,5548,7121,5414,207.7
39,4454,5054,5518,6854,5482,59.4
41,4543,5143,5538,6943,5550,12.0
40,4517,5117,5658,6917,5663,7.7
46,5049,5649,5739,7449,5731,13.52
44,4842,5442,5729,7242,5799,113.4
45,4921,5521,5838,7321,5889,92.31
47,5168,5768,5980,7568,6002,37.4
48,5205,5805,5977,7605,6092,146.05
49,5515,6115,6471,7915,6381,92.7
50,5781,6381,6449,8181,6449,0.0
52,5989,6589,6921,8389,6864,63.84
51,5888,6488,6954,8288,6954,0.0
53,6229,6829,7213,8629,7096,133.38
54,6291,6891,7186,8691,7186,0.0
56,6616,7216,7279,9016,7279,0.0
55,6365,6965,7282,8765,7392,118.8
57,6791,7391,7756,9191,7756,0.0
60,7183,7783,7969,9583,7962,9.59
61,7404,8004,8196,9804,8030,217.46
62,7437,8037,8098,9837,8098,0.0
58,7125,7725,8181,9525,8188,12.81
59,7134,7734,8144,9534,8278,166.16
63,7464,8064,8463,9864,8400,68.67
65,7793,8393,8514,10193,8513,1.69
64,7485,8085,8578,9885,8581,4.89
67,7844,8444,8723,10244,8649,110.26
69,7986,8586,8717,10386,8717,0.0
68,7965,8565,8853,10365,8853,0.0
66,7816,8416,8994,10216,8994,0.0
71,8484,9084,9275,10884,9275,0.0
70,8329,8929,9461,10729,9461,0.0
72,8600,9200,9551,11000,9551,0.0
73,8632,9232,9752,11032,9726,29.12
74,8727,9327,9816,11127,9816,0.0
76,9428,10028,10343,11828,10255,126.72
78,9688,10288,10473,12088,10323,156.0
79,9734,10334,10417,12134,10413,7.88
75,9330,9930,10459,11730,10503,80.52
80,9834,10434,10662,12234,10616,55.2
81,9905,10505,10684,12305,10684,0.0
77,9658,10258,10798,12058,10798,0.0
83,10012,10612,10933,12412,10920,23.92
85,10270,10870,11012,12670,10988,44.88
82,9958,10558,11031,12358,11056,35.75
84,10230,10830,11146,12630,11146,0.0
86,10343,10943,11280,12743,11236,73.48
91,10622,11222,11405,13022,11326,82.95
87,10376,10976,11380,12776,11439,74.93
90,10540,11140,11429,12940,11507,88.92
88,10416,11016,11516,12816,11575,63.13
89,10440,11040,11620,12840,11643,35.65
94,10924,11524,11649,13324,11733,119.28
93,10862,11462,11871,13262,11847,34.08
97,11212,11812,11963,13612,11915,92.16
92,10822,11422,11984,13222,11983,1.95
95,11182,11782,12096,13582,12096,0.0
96,11209,11809,12102,13609,12164,117.8
98,11257,11857,12195,13657,12277,93.48
99,11313,11913,12294,13713,12367,92.71
100,11836,12436,12905,14236,12905,0.0
101,12062,12662,13009,14462,13009,0.0
102,12215,12815,13077,14615,13077,0.0
103,12333,12933,13402,14733,13389,26.0
105,12755,13355,13457,15155,13457,0.0
104,12440,13040,13539,14840,13547,9.36
106,12926,13526,13988,15326,13851,147.96
109,13157,13757,14010,15557,13964,85.1
107,13125,13725,14032,15525,14032,0.0
108,13134,13734,14065,15534,14100,46.55
110,13261,13861,14297,15661,14251,59.34
111,13537,14137,14364,15937,14364,0.0
112,13632,14232,14424,16032,14454,36.3
113,13839,14439,14563,16239,14563,0.0
114,14013,14613,14682,16413,14682,0.0
115,14254,14854,14924,16654,14854,73.5
116,14322,14922,14989,16722,14989,0.0
118,14471,15071,15514,16871,15456,75.4
117,14340,14940,15524,16740,15524,0.0
119,14577,15177,15683,16977,15658,28.75
124,14979,15579,15726,17379,15726,0.0
121,14943,15543,15839,17343,15839,0.0
120,14797,15397,15959,17197,15924,60.55
123,14978,15578,16162,17378,16014,270.84
122,14960,15560,16160,17360,16127,61.05
127,15498,16098,16222,17898,16217,7.55
125,15192,15792,16329,17592,16285,54.56
126,15417,16017,16374,17817,16353,37.38
129,15685,16285,16398,18085,16421,31.74
133,15788,16388,16529,18188,16534,9.0
131,15778,16378,16520,18178,16602,155.8
130,15732,16332,16670,18132,16670,0.0
128,15664,16264,16438,18064,16738,435.0
132,15786,16386,16822,18186,16828,10.86
134,15880,16480,17018,18280,17018,0.0
135,16104,16704,17161,18504,17160,1.2
136,16234,16834,17217,18634,17273,56.0
140,16534,17134,17700,18934,17341,373.36
137,16302,16902,17469,18702,17454,29.1
138,16317,16917,17514,18717,17522,9.92
139,16335,16935,17427,18735,17590,174.41
142,16656,17256,17699,19056,17680,21.66
141,16585,17185,17698,18985,17748,55.0
144,16851,17451,17705,19251,17816,180.93
145,16855,17455,17718,19255,17906,265.08
143,16821,17421,17975,19221,18019,64.24
150,17495,18095,18320,19895,18194,166.32
148,17349,17949,18481,19749,18262,367.92
152,17668,18268,18352,20068,18352,0.0
146,17309,17909,18418,19709,18420,4.0
147,17315,17915,18498,19715,18488,18.1
149,17376,17976,18470,19776,18556,102.34
151,17586,18186,18584,19986,18646,69.44
153,17742,18342,18746,20142,18746,0.0
156,18189,18789,18912,20589,18849,114.66
154,18103,18703,18939,20503,18939,0.0
158,18399,18999,19117,20799,19111,10.62
155,18187,18787,19179,20587,19179,0.0
157,18349,18949,19197,20749,19269,121.68
159,18571,19171,19607,20971,19607,0.0
163,19092,19692,19756,21492,19692,71.68
161,18737,19337,19762,21137,19782,26.4
160,18729,19329,19905,21129,19905,0.0
162,19082,19682,20037,21482,20037,0.0
165,19533,20133,20341,21933,20341,0.0
164,19479,20079,20595,21879,20595,0.0
168,20102,20702,20955,22502,20871,140.28
169,20130,20730,21051,22530,20984,87.1
166,19999,20599,21072,22399,21052,36.2
170,20228,20828,21120,22628,21142,35.2
172,20478,21078,21246,22878,21210,46.44
167,20068,20668,21229,22468,21278,87.71
171,20249,20849,21278,22649,21346,119.68
174,20766,21366,21615,23166,21615,0.0
173,20731,21331,21823,23131,21823,0.0
175,20923,21523,21946,23323,21946,0.0
176,21027,21627,22225,23427,22225,0.0
177,21263,21863,22449,23663,22345,149.76
178,21598,22198,22572,23998,22458,185.82
181,21894,22494,22597,24294,22526,116.44
183,21914,22514,22615,24314,22616,1.13
180,21864,22464,22809,24264,22729,121.6
179,21727,22327,22800,24127,22797,5.19
184,21916,22516,22932,24316,22910,32.78
187,22194,22794,22974,24594,22978,7.88
186,22125,22725,23038,24525,23046,12.16
182,21898,22498,23046,24298,23159,179.67
185,22106,22706,23123,24506,23227,117.52
188,22230,22830,23219,24630,23295,129.2
190,22557,23157,23370,24957,23370,0.0
191,22606,23206,23483,25006,23483,0.0
192,22864,23464,23784,25264,23595,202.23
189,22472,23072,23668,24872,23663,7.6
193,22927,23527,23764,25327,23731,46.53
195,23045,23645,23836,25445,23844,8.08
197,23120,23720,23934,25520,23934,0.0
194,23015,23615,23861,25415,24002,164.97
196,23114,23714,23950,25514,24070,132.0
198,23193,23793,24167,25593,24167,0.0
199,23399,23999,24265,25799,24265,0.0
