Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
2,9,84,93,501,90.0,90.0
3,14,89,98,509,98.0,0.0
4,25,100,111,536,106.0,150.0
5,32,107,120,552,114.0,180.0
6,34,109,121,550,122.0,30.0
8,40,115,128,557,130.0,60.0
7,34,109,120,544,138.0,540.0
9,59,134,151,610,151.0,0.0
13,77,152,171,637,171.0,0.0
12,85,160,181,674,181.0,0.0
0,54,129,155,559,196.0,410.0
1,115,190,250,732,250.0,0.0
11,176,251,313,778,313.0,0.0
10,191,266,341,837,341.0,0.0
14,201,276,342,815,344.0,20.0
