Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time
0,0,0,0,0,0
1,4,79,137,196,96
2,71,146,271,396,296
3,151,226,351,476,376
4,231,306,431,556,456
5,303,378,503,628,528
6,453,528,626,724,624
7,560,635,727,820,720
8,695,770,895,1020,920
9,767,842,967,1092,992
10,967,1042,1167,1292,1192
11,1039,1114,1239,1364,1264
12,1239,1314,1439,1564,1464
13,1319,1394,1519,1644,1544
14,1391,1466,1591,1716,1616
15,1591,1666,1791,1916,1816
16,1671,1746,1871,1996,1896
17,1743,1818,1943,2068,1968
18,1943,2018,2143,2268,2168
19,2023,2098,2223,2348,2248
20,2095,2170,2295,2420,2320
21,2191,2266,2391,2516,2416
22,2391,2466,2591,2716,2616
23,2463,2538,2663,2788,2688
24,2663,2738,2863,2988,2888
25,2743,2818,2943,3068,2968
26,2823,2898,3023,3148,3048
27,2903,2978,3103,3228,3128
28,2975,3050,3175,3300,3200
29,3071,3146,3271,3396,3296
30,3271,3346,3471,3596,3496
31,3343,3418,3543,3668,3568
32,3543,3618,3743,3868,3768
33,3615,3690,3815,3940,3840
34,3711,3786,3911,4036,3936
35,3911,3986,4111,4236,4136
36,3991,4066,4191,4316,4216
37,4071,4146,4271,4396,4296
38,4143,4218,4343,4468,4368
39,4239,4314,4439,4564,4464
40,4335,4410,4535,4660,4560
41,4431,4506,4631,4756,4656
42,4527,4602,4727,4852,4752
43,4727,4802,4927,5052,4952
